Element Name,,Database Name,Element ID,Element Type,Location,Location ID,Cell Line,Cell Type,Organism,Positive Reg Name,,,Positive Reg ID,Positive Reg Type,Positive Reg Location,Positive Reg Location ID,Negative Reg Name,,,Negative Reg ID,Negative Reg Type,Negative Reg Location,Negative Reg Location,Negative Reg Location ID,Mechanism,Connection Type,Paper ID,Evidence
AKT,be_AKT,be,P31749,family,,,,,,TGFBETA,interpro_P01137,interpro,P01137,family,,,,,,,,,,,,I,PMC2275380,
Ctla4,uniprot_P16410,uniprot,P16410,protein,,,,,,Foxp3,uniprot_Q9BZS1,uniprot,Q9BZS1,protein,,,,,,,,,,,,I,PMC2275380,
Gpr83,uniprot_Q9NYM4,uniprot,Q9NYM4,protein,,,,,,Foxp3,uniprot_Q9BZS1,uniprot,Q9BZS1,protein,,,,,,,,,,,,I,PMC2275380,
CD8,be_CD8,be,CD8,family,,,,,,Pten,uniprot_P60484,uniprot,P60484,protein,,,,,,,,,,,,I,PMC3375464,
HSC,uniprot_P19526,uniprot,P19526,protein,,,,,,PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,,,,,,,I,PMC3375464,
Akt,be_AKT,be,P31749,family,,,,,,CHK1,uniprot_O14757,uniprot,O14757,protein,,,,,,,,,,,,I,PMC3375464,
gp120,uniprot_Q14624,uniprot,Q14624,protein,,,,,,PDL1,uniprot_Q9NZQ7,uniprot,Q9NZQ7,protein,,,,,,,,,,,,I,PMC4669187,
Itk,uniprot_Q08881,uniprot,Q08881,protein,,,,,,FoxP3,uniprot_Q9BZS1,uniprot,Q9BZS1,protein,,,,,,,,,,,,I,PMC3949578,
CD4,uniprot_P01730,uniprot,P01730,protein,,,,,,Itk,uniprot_Q08881,uniprot,Q08881,protein,,,,,,,,,,,,I,PMC3949578,
Itk,uniprot_Q08881,uniprot,Q08881,protein,,,,,,IL2,uniprot_P60568,uniprot,P60568,protein,,,,,,,,,,,,I,PMC3949578,
Itk,uniprot_Q08881,uniprot,Q08881,protein,,,,,,TCR,uniprot_P04234,uniprot,P04234,protein,,,,,,,,,,,,I,PMC3949578,
Itk,uniprot_Q08881,uniprot,Q08881,protein,,,,,,FoxP3,uniprot_Q9BZS1,uniprot,Q9BZS1,protein,,,,,,,,,,,,I,PMC3949578,
Th17,uaz_UAZ02468,uaz,UAZ02468,protein,,,,,,Itk,uniprot_Q08881,uniprot,Q08881,protein,,,,,,,,,,,,I,PMC3949578,
CD25,uniprot_P01589,uniprot,P01589,protein,,,,,,TCR,uniprot_P04234,uniprot,P04234,protein,,,,,,,,,,,,I,PMC3949578,
S5B,uaz_UAZ02655,uaz,UAZ02655,protein,,,,,,ERK,be_ERK,be,P29323,family,,,,,,,,,,,,I,PMC3625979,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,MEK,be_MEK,be,MEK,family,,,,,,,,,,,,I,PMC3625979,
CD4,uaz_UAZ00341,uaz,UAZ00341,protein,,,,,,CK2,uaz_UAZ00325,uaz,Q53GL0,protein,,,,,,,,,,,,I,PMC5193405,
CD69,uniprot_Q07108,uniprot,Q07108,protein,,,,,,SP,uniprot_Q03403,uniprot,Q03403,protein,,,,,,,,,,,,I,PMC5193405,
CDC37,uniprot_Q16543,uniprot,Q16543,protein,,,,,,CK2,uaz_UAZ00325,uaz,UAZ00325,protein,,,,,,,,,,,,I,PMC5193405,
Akt,be_AKT,be,P31749,family,,,,,,CK2,uaz_UAZ00325,uaz,UAZ00325,protein,,,,,,,,,,,,I,PMC5193405,
CDC37,uniprot_Q16543,uniprot,Q16543,protein,,,,,,CK2,be_CK2,be,Q53GL0,protein,,,,,,,,,,,,I,PMC5193405,
CK2,uaz_UAZ00325,uaz,Q53GL0,protein,,,,,,ERK,be_ERK,be,P29323,family,,,,,,,,,,,,I,PMC5193405,
CD3,be_CD3,be,CD3,protein,,,,,,Bcl2,uniprot_P10415,uniprot,P10415,protein,,,,,,,,,,,,I,PMC5193405,
CD3,be_CD3,be,CD3,protein,,,,,,Bcl2,uniprot_P10415,uniprot,P10415,protein,,,,,,,,,,,,I,PMC5193405,
CK2,be_CK2,be,Q53GL0,protein,,,,,,CD5,uniprot_P06127,uniprot,P06127,protein,,,,,,,,,,,,I,PMC5193405,
P38,be_p38,be,p38,family,,,,,,CD5,uniprot_P06127,uniprot,P06127,protein,,,,,,,,,,,,I,PMC5193405,
CD5,uniprot_P06127,uniprot,P06127,protein,,,,,,P38,be_p38,be,p38,family,,,,,,,,,,,,I,PMC5193405,
AKT,be_AKT,be,P31749,family,,,,,,PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,,,,,,,I,PMC4712330,
AKT,be_AKT,be,P31749,family,,,,,,PI3K,be_PI3K,be,P42336,protein,,,,,,,,,,,,I,PMC4712330,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,PI3K,be_PI3K,be,P42336,protein,,,,,,,,,,,,I,PMC4712330,
TBK1,uniprot_Q9UHD2,uniprot,Q9UHD2,protein,,,,,,AKT,be_AKT,be,P31749,family,,,,,,,,,,,,I,PMC4302769,
TBK1,uniprot_Q9UHD2,uniprot,Q9UHD2,protein,,,,,,mTORC1,be_mTORC1,be,Q8N122,protein,,,,,,,,,,,,I,PMC4302769,
TBK1,uniprot_Q9UHD2,uniprot,Q9UHD2,protein,,,,,,AKT,be_AKT,be,P31749,family,,,,,,,,,,,,I,PMC4302769,
Foxo1,uniprot_Q12778,uniprot,Q12778,protein,,,,,,TBK1,uniprot_Q9UHD2,uniprot,Q9UHD2,protein,,,,,,,,,,,,I,PMC4302769,
AKT,be_AKT,be,P31749,family,,,,,,TBK1,uniprot_Q9UHD2,uniprot,Q9UHD2,protein,,,,,,,,,,,,I,PMC4302769,
AKT,be_AKT,be,P31749,family,,,,,,TBK1,uniprot_Q9UHD2,uniprot,Q9UHD2,protein,,,,,,,,,,,,I,PMC4302769,
CD4,uniprot_P01730,uniprot,P01730,protein,,,,,,TBK1,uniprot_Q9UHD2,uniprot,Q9UHD2,protein,,,,,,,,,,,,I,PMC4302769,
FOXO3,uaz_UAZ03334,uaz,UAZ03334,protein,,,,,,FOXO3,uniprot_O43524,uniprot,O43524,protein,,,,,,,,,,,,I,PMC4487994,
FAS,uniprot_P25445,uniprot,P25445,protein,,,,,,FASL,uniprot_P48023,uniprot,P48023,protein,,,,,,,,,,,,I,PMC4487994,
CD4,uniprot_P01730,uniprot,P01730,protein,,,,,,Bcl2l11,uniprot_O43521,uniprot,O43521,gene,,,,,,,,,,,,I,PMC4487994,
PIP3,hmdb_HMDB10147,hmdb,HMDB10147,simple-chemical,,,,,,PI3K,be_PI3K,be,P42336,protein,,,,,,,,,,,,I,PMC4487994,
PIP3,hmdb_HMDB10147,hmdb,HMDB10147,simple-chemical,,,,,,PI3,be_PI3K,be,P42336,protein,,,,,,,,,,,,I,PMC4487994,
PI,be_PI3K,be,P42336,protein,,,,,,SHIP,uniprot_Q92835,uniprot,Q92835,protein,,,,,,,,,,,,I,PMC4487994,
PAK1,uniprot_Q13153,uniprot,Q13153,protein,,,,,,BAM32,uniprot_Q9UN19,uniprot,Q9UN19,protein,,,,,,,,,,,,I,PMC4487994,
PAK1,uniprot_Q13153,uniprot,Q13153,protein,,,,,,mTORC1,be_mTORC1,be,Q8N122,protein,,,,,,,,,,,,I,PMC4487994,
AKT,be_AKT,be,P31749,family,,,,,,mTOR,uniprot_P42345,uniprot,P42345,protein,,,,,,,,,,,,I,PMC4487994,
PAK1,uniprot_Q13153,uniprot,Q13153,protein,,,,,,mTOR,uniprot_P42345,uniprot,P42345,protein,,,,,,,,,,,,I,PMC4487994,
PAK1,uniprot_Q13153,uniprot,Q13153,protein,,,,,,ERK,be_ERK,be,P29323,family,,,,,,,,,,,,I,PMC4487994,
PAK1,uniprot_Q13153,uniprot,Q13153,protein,,,,,,BIM,uniprot_O43521,uniprot,O43521,protein,,,,,,,,,,,,I,PMC4487994,
Akt,be_AKT,be,P31749,family,,,,,,PDK1,uniprot_Q15118,uniprot,Q15118,protein,,,,,,,,,,,,I,PMC4550078,
Akt,be_AKT,be,P31749,family,,,,,,IFNgamma,uniprot_P01579,uniprot,P01579,protein,,,,,,,,,,,,I,PMC4550078,
Akt,be_AKT,be,P31749,family,,,,,,PI3K,be_PI3K,be,P42336,protein,,,,,,,,,,,,I,PMC4496363,
Akt,be_AKT,be,P31749,family,,,,,,PI3K,be_PI3K,be,P42336,protein,,,,,,,,,,,,I,PMC4496363,
Akt,be_AKT,be,P31749,family,,,,,,PI3K,be_PI3K,be,P42336,protein,,,,,,,,,,,,I,PMC4496363,
NEDD4,,,P46934,protein,,,,,,TCR,,,P04235,protein,,,,,,,,,,,,I,PMC4418530,
PTEN,,,P60484,protein,,,,,,Foxo1,,,Q12778,protein,,,,,,,,,,,,I,PMC4418530,
PTEN,,,P60485,protein,,,,,,MEK1,,,Q02750,protein,,,,,,,,,,,,I,PMC4418530,
AKT,,,P31749,protein,,,,,,PIP3,,,HMDB10147,protein,,,,,,,,,,,,I,PMC4418530,
AKT,,,P31750,protein,,,,,,MTORC2,,,Q6R327,Complex,,,,,,,,,,,,I,PMC4418530,
MTORC2,,,Q6R327,Complex,,,,,,TCR,,,P01850,protein,,,,,,,,,,,,I,PMC4418530,
PIP3,,,HMDB10147,protein,,,,,,TCR,,,P01850,protein,,,,,,,,,,,,I,PMC4418530,
MEK1,,,Q02750,protein,,,,,,TCR,,,P01850,protein,,,,,,,,,,,,I,PMC4418530,
CK2,,,Q53GL0,protein,,,,,,TCR,,,P01850,protein,,,,,,,,,,,,I,PMC4418530,
MTORC2,,,Q6R327,Complex,,,,,,MTORC2,,,Q6R328,Complex,,,,,,,,,,,,I,PMC4418530,
MTORC2,,,Q6R328,Complex,,,,,,CD28,,,P10747,protein,,,,,,,,,,,,I,PMC4418530,
MTORC2,,,Q6R329,Complex,,,,,,IL2_EX,,,P60568,protein,,,,,,,,,,,,I,PMC4418530,
MTORC2,,,Q6R330,Complex,,,,,,IL2_R,,,P01589,protein,,,,,,,,,,,,I,PMC4418530,
PIP3,,,HMDB10147,protein,,,,,,PI3K,,,P42336,protein,,,,,,,,,,,,I,PMC4418530,
CD4,uniprot_P01730,uniprot,P01730,protein,,,,,,,,,,,,,AKT,be_AKT,be,P31749,family,,,,,I,PMC2275380,
CTRL,uniprot_P40313,uniprot,P40313,protein,,,,,,,,,,,,,AKT,be_AKT,be,P31749,family,,,,,I,PMC2275380,
Foxo3a,uniprot_O43524,uniprot,O43524,protein,,,,,,,,,,,,,Foxo,be_FOXO,be,FOXO,family,,,,,I,PMC3375464,
Treg,uaz_UAZ02439,uaz,UAZ02439,protein,,,,,,,,,,,,,PDL1,uniprot_Q9NZQ7,uniprot,Q9NZQ7,protein,,,,,I,PMC4669187,
CD8,be_CD8,be,CD8,family,,,,,,,,,,,,,PDL1,uniprot_Q9NZQ7,uniprot,Q9NZQ7,protein,,,,,I,PMC4669187,
CD4,uniprot_P01730,uniprot,P01730,protein,,,,,,,,,,,,,TCR,uniprot_P04234,uniprot,P04234,protein,,,,,I,PMC3949578,
CD4,uniprot_P01730,uniprot,P01730,protein,,,,,,,,,,,,,Itk,uniprot_Q08881,uniprot,Q08881,protein,,,,,I,PMC3949578,
CD4,uniprot_P01730,uniprot,P01730,protein,,,,,,,,,,,,,AKT,uaz_UAZ00283,uaz,P31749,protein,,,,,I,PMC3949578,
Itk,uniprot_Q08881,uniprot,Q08881,protein,,,,,,,,,,,,,AKT,uaz_UAZ00283,uaz,P31749,protein,,,,,I,PMC3949578,
Pten,uniprot_P60484,uniprot,P60484,protein,,,,,,,,,,,,,TCR,uniprot_P04234,uniprot,P04234,protein,,,,,I,PMC3949578,
Itk,uniprot_Q08881,uniprot,Q08881,protein,,,,,,,,,,,,,Pten,uniprot_P60484,uniprot,P60484,protein,,,,,I,PMC3949578,
IL17A,uniprot_Q16552,uniprot,Q16552,protein,,,,,,,,,,,,,CD4,uniprot_P01730,uniprot,P01730,protein,,,,,I,PMC3949578,
IL17A,uniprot_Q16552,uniprot,Q16552,protein,,,,,,,,,,,,,HIF1alpha,uniprot_Q16665,uniprot,Q16665,protein,,,,,I,PMC3949578,
Myc,uniprot_P01106,uniprot,P01106,protein,,,,,,,,,,,,,Itk,uniprot_Q08881,uniprot,Q08881,protein,,,,,I,PMC3949578,
MEK2,uniprot_P36507,uniprot,P36507,protein,,,,,,,,,,,,,IQGAP1,uniprot_P46940,uniprot,P46940,protein,,,,,I,PMC3625979,
AKT,be_AKT,be,P31749,family,,,,,,,,,,,,,MEK1,uniprot_Q02750,uniprot,Q02750,protein,,,,,I,PMC3625979,
MEK1,uniprot_Q02750,uniprot,Q02750,protein,,,,,,,,,,,,,AKT,be_AKT,be,P31749,family,,,,,I,PMC3625979,
AKT,be_AKT,be,P31749,family,,,,,,,,,,,,,MEK1,uniprot_Q02750,uniprot,Q02750,protein,,,,,I,PMC3625979,
MAGI1,uniprot_Q6P9H4,uniprot,Q6P9H4,protein,,,,,,,,,,,,,AKT,be_AKT,be,P31749,family,,,,,I,PMC3625979,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,,,,,,,,RAS,pfam_PF00071,pfam,PF00071,family,,,,,I,PMC4712330,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,,,,,,,,NEDD4,uniprot_P46934,uniprot,P46934,protein,,,,,I,PMC4712330,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,,,,,,,,P53,uniprot_P04637,uniprot,P04637,protein,,,,,I,PMC4712330,
AKT,be_AKT,be,P31749,family,,,,,,,,,,,,,PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,I,PMC4712330,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,,,,,,,,PI3K,be_PI3K,be,P42336,protein,,,,,I,PMC4712330,
AKT,be_AKT,be,P31749,family,,,,,,,,,,,,,TCR,uniprot_P04234,uniprot,P04234,protein,,,,,I,PMC4302769,
AKT,be_AKT,be,P31749,family,,,,,,,,,,,,,TBK1,uniprot_Q9UHD2,uniprot,Q9UHD2,protein,,,,,I,PMC4302769,
AKT,be_AKT,be,P31749,family,,,,,,,,,,,,,TBK1,uniprot_Q9UHD2,uniprot,Q9UHD2,protein,,,,,I,PMC4302769,
AKT,be_AKT,be,P31749,family,,,,,,,,,,,,,TBK1,uniprot_Q9UHD2,uniprot,Q9UHD2,protein,,,,,I,PMC4302769,
Foxo1,uniprot_Q12778,uniprot,Q12778,protein,,,,,,,,,,,,,AKT,be_AKT,be,P31749,family,,,,,I,PMC4302769,
CD4,uniprot_P01730,uniprot,P01730,protein,,,,,,,,,,,,,TBK1,uniprot_Q9UHD2,uniprot,Q9UHD2,protein,,,,,I,PMC4302769,
Foxo1,uniprot_Q12778,uniprot,Q12778,protein,,,,,,,,,,,,,AKT,be_AKT,be,P31749,family,,,,,I,PMC4302769,
AKT,be_AKT,be,P31749,family,,,,,,,,,,,,,TBK1,uniprot_Q9UHD2,uniprot,Q9UHD2,protein,,,,,I,PMC4302769,//Hawse et al
AKT,be_AKT,be,P31749,family,,,,,,,,,,,,,PI,be_PI3K,be,P42336,protein,,,,,I,PMC4487994,
AKT,be_AKT,be,P31749,family,,,,,,,,,,,,,SHIP1,uniprot_Q92835,uniprot,Q92835,protein,,,,,I,PMC4487994,
AKT,be_AKT,be,P31749,family,,,,,,,,,,,,,SHIP1,uniprot_Q92835,uniprot,Q92835,protein,,,,,I,PMC4487994,
PAK1,uniprot_Q13153,uniprot,Q13153,protein,,,,,,,,,,,,,siPAK1,uaz_UAZ03324,uaz,UAZ03324,protein,,,,,I,PMC4487994,
AKT,be_AKT,be,P31749,family,,,,,,,,,,,,,SHIP1,uniprot_Q92835,uniprot,Q92835,protein,,,,,I,PMC4487994,
Pak1,uniprot_Q13153,uniprot,Q13153,protein,,,,,,,,,,,,,mTOR,uniprot_P42345,uniprot,P42345,protein,,,,,I,PMC4487994,
PAK1,uniprot_Q13153,uniprot,Q13153,protein,,,,,,,,,,,,,PI3K,be_PI3K,be,P42336,protein,,,,,I,PMC4487994,
Akt,be_AKT,be,P31749,family,,,,,,,,,,,,,CTLA4,uniprot_P16410,uniprot,P16410,protein,,,,,I,PMC4550078,
Akt,be_AKT,be,P31749,family,,,,,,,,,,,,,PD1,uniprot_P18621,uniprot,P18621,protein,,,,,I,PMC4550078,
Akt,be_AKT,be,P31749,family,,,,,,,,,,,,,TIL,uniprot_Q15399,uniprot,Q15399,protein,,,,,I,PMC4550078,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,,,,,,,,PI3K,be_PI3K,be,P42336,protein,,,,,I,PMC4496363,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,,,,,,,,CK2,be_CK2,be,CK2,protein,,,,,I,PMC4496363,
FoxO3,uniprot_O43524,uniprot,O43524,protein,,,,,,,,,,,,,Akt,be_AKT,be,P31749,family,,,,,I,PMC4496363,
PTEN,,,P60486,protein,,,,,,,,,,,,,CK2,,,Q53GL0,protein,,,,,I,PMC4418530,
PTEN,,,P60487,protein,,,,,,,,,,,,,NEDD4,,,P46934,protein,,,,,I,PMC4418530,
MTORC2,,,Q6R327,Complex,,,,,,,,,,,,,AKT,,,P31749,protein,,,,,I,PMC4418530,
PIP3,,,HMDB10148,protein,,,,,,,,,,,,,PTEN,,,P60484,protein,,,,,I,PMC4418530,