Element Name,,Database Name,Element ID,Element Type,Location,Location ID,Cell Line,Cell Type,Organism,Positive Reg Name,,,Positive Reg ID,Positive Reg Type,Positive Reg Location,Positive Reg Location ID,Negative Reg Name,,,Negative Reg ID,Negative Reg Type,Negative Reg Location,Negative Reg Location ID,Connection Type,Mechanism,Paper ID,Evidence
Cre,uniprot_P06956,uniprot,P06956,protein,,,,,,CD4,uniprot_P01730,uniprot,P01730,protein,,,,,,,,,,I,,PMCPMC5821214,
PD_1,uniprot_P18621,uniprot,P18621,protein,,,,,,TCR,uniprot_P04234,uniprot,P04234,protein,,,,,,,,,,I,,PMCPMC5821214,
antigen,uaz_UA-BP-GGP-00007,uaz,UA-BP-GGP-00007,protein,,,,,,proliferation,go_GO:0008283,go,GO:0008283,bioprocess,,,,,,,,,,I,,PMCPMC5821214,
antigen,uaz_UA-BP-GGP-00007,uaz,UA-BP-GGP-00007,protein,,,,,,PI3K,be_PI3K,be,PI3K,protein,,,,,,,,,,I,,PMCPMC5821214,
antigen,uaz_UA-BP-GGP-00007,uaz,UA-BP-GGP-00007,protein,,,,,,PKC,be_PKC,be,PKC,family,,,,,,,,,,I,,PMCPMC5821214,
antigen,uaz_UA-BP-GGP-00007,uaz,UA-BP-GGP-00007,protein,,,,,,AKT,be_AKT,be,AKT,family,,,,,,,,,,I,,PMCPMC5821214,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,PD_1,uniprot_P18621,uniprot,P18621,protein,,,,,,,,,,I,,PMCPMC5821214,
PI3K,be_PI3K,be,PI3K,protein,,,,,,AKT,be_AKT,be,AKT,family,,,,,,,,,,I,,PMCPMC5821214,
PD_1,uniprot_P18621,uniprot,P18621,protein,,,,,,PI3K,be_PI3K,be,PI3K,protein,,,,,,,,,,I,,PMCPMC5821214,
PD_1,uniprot_P18621,uniprot,P18621,protein,,,,,,AKT,be_AKT,be,AKT,family,,,,,,,,,,I,,PMCPMC5821214,
mTORC1_inhibitors,uaz_UAZ10909,uaz,UAZ10909,simple-chemical,,,,,,mTORC1,be_mTORC1,be,mTORC1,protein,,,,,,,,,,I,,PMCPMC5765289,
apoptosis,go_GO:0006915,go,GO:0006915,bioprocess,,,,,,Akt,be_AKT,be,AKT,family,,,,,,,,,,I,,PMCPMC5765289,
Ltd,pfam_PF00932,pfam,PF00932,family,,,,,,PP242,pubchem_24905147,pubchem,24905147,simple-chemical,,,,,,,,,,I,,PMCPMC5765289,
PI3K,uaz_UAZ02107,uaz,UAZ02107,protein,,,,,,proliferation,go_GO:0008283,go,GO:0008283,bioprocess,,,,,,,,,,I,,PMCPMC5765289,
G0_G1,uaz_UAZ04414,uaz,UAZ04414,protein,,,,,,PP242,pubchem_24905147,pubchem,24905147,simple-chemical,,,,,,,,,,I,,PMCPMC5765289,
rapamycin,pubchem_5284616,pubchem,5284616,simple-chemical,,,,,,ED,pubchem_99716,pubchem,99716,simple-chemical,,,,,,,,,,I,,PMCPMC5765289,
rapamycin,pubchem_5284616,pubchem,5284616,simple-chemical,,,,,,mTORC1_inhibitors,uaz_UAZ10909,uaz,UAZ10909,simple-chemical,,,,,,,,,,I,,PMCPMC5765289,
apoptosis,go_GO:0006915,go,GO:0006915,bioprocess,,,,,,PP242,pubchem_24905147,pubchem,24905147,simple-chemical,,,,,,,,,,I,,PMCPMC5765289,
G0_G1,uaz_UAZ04414,uaz,UAZ04414,protein,,,,,,PP242,pubchem_24905147,pubchem,24905147,simple-chemical,,,,,,,,,,I,,PMCPMC5765289,
mTOR,uniprot_P42345,uniprot,P42345,protein,,,,,,mTORC1,be_mTORC1,be,mTORC1,protein,,,,,,,,,,I,,PMCPMC5765289,
mTOR,uniprot_P42345,uniprot,P42345,protein,,,,,,mTORC2,be_mTORC2,be,mTORC2,protein,,,,,,,,,,I,,PMCPMC5765289,
apoptosis,go_GO:0006915,go,GO:0006915,bioprocess,,,,,,Akt,be_AKT,be,AKT,family,,,,,,,,,,I,,PMCPMC5765289,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,mTORC2_Akt,uaz_UAZ10937,uaz,UAZ10937,protein,,,,,,,,,,I,,PMCPMC4297581,
Tsc1,uniprot_Q92574,uniprot,Q92574,protein,,,,,,mTORC1,be_mTORC1,be,mTORC1,protein,,,,,,,,,,I,,PMCPMC4297581,
Pten,uniprot_P60484,uniprot,P60484,protein,,,,,,Foxp3,uniprot_B7ZLG1,uniprot,B7ZLG1,protein,,,,,,,,,,I,,PMCPMC4297581,
Pten,uniprot_P60484,uniprot,P60484,protein,,,,,,reg,uniprot_P05451,uniprot,P05451,protein,,,,,,,,,,I,,PMCPMC4297581,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,proliferation,go_GO:0008283,go,GO:0008283,bioprocess,,,,,,,,,,I,,PMCPMC4297581,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,reg,uniprot_P05451,uniprot,P05451,protein,,,,,,,,,,I,,PMCPMC4297581,
FH,uniprot_P07954,uniprot,P07954,protein,,,,,,CD45.1,uaz_UAZ06442,uaz,UAZ06442,protein,,,,,,,,,,I,,PMCPMC4297581,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,reg,uniprot_P05451,uniprot,P05451,protein,,,,,,,,,,I,,PMCPMC4297581,
IFN__,uaz_UAZ00353,uaz,UAZ00353,protein,,,,,,Pten,uniprot_P60484,uniprot,P60484,protein,,,,,,,,,,I,,PMCPMC4297581,
reg,uniprot_P05451,uniprot,P05451,protein,,,,,,glycolysis,go_GO:0006096,go,GO:0006096,bioprocess,,,,,,,,,,I,,PMCPMC4297581,
Pten,uniprot_P60484,uniprot,P60484,protein,,,,,,glycolysis,go_GO:0006096,go,GO:0006096,bioprocess,,,,,,,,,,I,,PMCPMC4297581,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,reg,uniprot_P05451,uniprot,P05451,protein,,,,,,,,,,I,,PMCPMC4297581,
mTORC2,be_mTORC2,be,mTORC2,protein,,,,,,reg,uniprot_P05451,uniprot,P05451,protein,,,,,,,,,,I,,PMCPMC4297581,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,reg,uniprot_P05451,uniprot,P05451,protein,,,,,,,,,,I,,PMCPMC4297581,
Pten,uniprot_P60484,uniprot,P60484,protein,,,,,,IgG,uaz_UAZ00125,uaz,UAZ00125,protein,,,,,,,,,,I,,PMCPMC4297581,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,homeostasis,go_GO:0042592,go,GO:0042592,bioprocess,,,,,,,,,,I,,PMCPMC4297581,
FR,uniprot_P30043,uniprot,P30043,protein,,,,,,antigen,uaz_UA-BP-GGP-00007,uaz,UA-BP-GGP-00007,protein,,,,,,,,,,I,,PMCPMC4297581,
FR,uniprot_P30043,uniprot,P30043,protein,,,,,,GC,uniprot_P02774,uniprot,P02774,protein,,,,,,,,,,I,,PMCPMC4297581,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,reg,uniprot_P05451,uniprot,P05451,protein,,,,,,,,,,I,,PMCPMC4297581,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,reg,uniprot_P05451,uniprot,P05451,protein,,,,,,,,,,I,,PMCPMC4297581,
Ki_67,uaz_UAZ00278,uaz,UAZ00278,protein,,,,,,cell_proliferation,go_GO:0008283,go,GO:0008283,bioprocess,,,,,,,,,,I,,PMCPMC5521878,
SCF,uniprot_P21583,uniprot,P21583,protein,,,,,,cell_growth,go_GO:0016049,go,GO:0016049,bioprocess,,,,,,,,,,I,,PMCPMC5618553,
SCF,uniprot_P21583,uniprot,P21583,protein,,,,,,proliferation,go_GO:0008283,go,GO:0008283,bioprocess,,,,,,,,,,I,,PMCPMC5618553,
HIF_1,be_HIF1,be,HIF1,protein,,,,,,Hedgehog,be_Hedgehog,be,Hedgehog,family,,,,,,,,,,I,,PMCPMC5618553,
hypoxia_inducible_factor,uaz_UAZ03703,uaz,UAZ03703,protein,,,,,,Hedgehog,be_Hedgehog,be,Hedgehog,family,,,,,,,,,,I,,PMCPMC5618553,
hypoxia_inducible_factor,uaz_UAZ03703,uaz,UAZ03703,protein,,,,,,calcineurin,be_PPP3,be,PPP3,protein,,,,,,,,,,I,,PMCPMC5618553,
protein,pfam_PF00066,pfam,PF00066,family,,,,,,AMP,pubchem_15938965,pubchem,15938965,simple-chemical,,,,,,,,,,I,,PMCPMC5618553,
Wnt,be_Wnt,be,Wnt,family,,,,,,Hedgehog,be_Hedgehog,be,Hedgehog,family,,,,,,,,,,I,,PMCPMC5618553,
HIF_1,be_HIF1,be,HIF1,protein,,,,,,calcineurin,be_PPP3,be,PPP3,protein,,,,,,,,,,I,,PMCPMC5618553,
Wnt,be_Wnt,be,Wnt,family,,,,,,calcineurin,be_PPP3,be,PPP3,protein,,,,,,,,,,I,,PMCPMC5618553,
DLL4,uniprot_Q9NR61,uniprot,Q9NR61,protein,,,,,,NOTCH1,uniprot_P46531,uniprot,P46531,protein,,,,,,,,,,I,,PMCPMC5618553,
NOTCH1,uniprot_P46531,uniprot,P46531,protein,,,,,,autophagy,go_GO:0006914,go,GO:0006914,bioprocess,,,,,,,,,,I,,PMCPMC5618553,
AKT,be_AKT,be,AKT,family,,,,,,docking,pfam_PF08990,pfam,PF08990,family,,,,,,,,,,I,,PMCPMC5618553,
AKT,be_AKT,be,AKT,family,,,,,,phosphatase,pfam_PF15698,pfam,PF15698,family,,,,,,,,,,I,,PMCPMC5618553,
PI3K,be_PI3K,be,PI3K,protein,,,,,,phosphatase,pfam_PF15698,pfam,PF15698,family,,,,,,,,,,I,,PMCPMC5618553,
L_685,uaz_UAZ11022,uaz,UAZ11022,protein,,,,,,c_MYC_inhibitor,uaz_UAZ10970,uaz,UAZ10970,simple-chemical,,,,,,,,,,I,,PMCPMC5618553,
IL_7,uniprot_P13232,uniprot,P13232,protein,,,,,,cell_viability,mesh_D002470,mesh,D002470,bioprocess,,,,,,,,,,I,,PMCPMC5618553,
IL_7,uniprot_P13232,uniprot,P13232,protein,,,,,,cell_cycle,go_GO:0007049,go,GO:0007049,bioprocess,,,,,,,,,,I,,PMCPMC5618553,
DNM2,uniprot_P50570,uniprot,P50570,protein,,,,,,IL_7R,uniprot_P16871,uniprot,P16871,protein,,,,,,,,,,I,,PMCPMC5618553,
dynamin_2,uniprot_P50570,uniprot,P50570,protein,,,,,,IL_7R,uniprot_P16871,uniprot,P16871,protein,,,,,,,,,,I,,PMCPMC5618553,
NOTCH1,uniprot_P46531,uniprot,P46531,protein,,,,,,ICN1,uaz_UAZ10980,uaz,UAZ10980,protein,,,,,,,,,,I,,PMCPMC5618553,
HH,pubchem_6993105,pubchem,6993105,simple-chemical,,,,,,infiltration,mesh_D009361,mesh,D009361,bioprocess,,,,,,,,,,I,,PMCPMC5618553,
JAK3,uniprot_P52333,uniprot,P52333,protein,,,,,,infiltration,mesh_D009361,mesh,D009361,bioprocess,,,,,,,,,,I,,PMCPMC5618553,
Cn,uniprot_A1Z746,uniprot,A1Z746,protein,,,,,,calcium,pubchem_5460341,pubchem,5460341,simple-chemical,,,,,,,,,,I,,PMCPMC5618553,
AMPK,be_AMPK,be,AMPK,protein,,,,,,homeostasis,go_GO:0042592,go,GO:0042592,bioprocess,,,,,,,,,,I,,PMCPMC5618553,
AMPK,be_AMPK,be,AMPK,protein,,,,,,cell_survival,mesh_D002470,mesh,D002470,bioprocess,,,,,,,,,,I,,PMCPMC5618553,
AMPK,be_AMPK,be,AMPK,protein,,,,,,metabolism,go_GO:0008152,go,GO:0008152,bioprocess,,,,,,,,,,I,,PMCPMC5618553,
Scf,uniprot_P21583,uniprot,P21583,protein,,,,,,set,uniprot_Q01105,uniprot,Q01105,protein,,,,,,,,,,I,,PMCPMC5886055,
Il7,uniprot_P13232,uniprot,P13232,protein,,,,,,set,uniprot_Q01105,uniprot,Q01105,protein,,,,,,,,,,I,,PMCPMC5886055,
Notch,pfam_PF00066,pfam,PF00066,family,,,,,,set,uniprot_Q01105,uniprot,Q01105,protein,,,,,,,,,,I,,PMCPMC5886055,
Scf,uniprot_P21583,uniprot,P21583,protein,,,,,,Socs2,uniprot_O14508,uniprot,O14508,protein,,,,,,,,,,I,,PMCPMC5886055,
Scf,uniprot_P21583,uniprot,P21583,protein,,,,,,Cish,uniprot_Q9NSE2,uniprot,Q9NSE2,protein,,,,,,,,,,I,,PMCPMC5886055,
Scf,uniprot_P21583,uniprot,P21583,protein,,,,,,Xbp1,uniprot_P17861,uniprot,P17861,protein,,,,,,,,,,I,,PMCPMC5886055,
Dll4,uniprot_Q9NR61,uniprot,Q9NR61,protein,,,,,,Socs2,uniprot_O14508,uniprot,O14508,protein,,,,,,,,,,I,,PMCPMC5886055,
Scf,uniprot_P21583,uniprot,P21583,protein,,,,,,Bcl2,uniprot_P10415,uniprot,P10415,protein,,,,,,,,,,I,,PMCPMC5886055,
Dll4,uniprot_Q9NR61,uniprot,Q9NR61,protein,,,,,,Cish,uniprot_Q9NSE2,uniprot,Q9NSE2,protein,,,,,,,,,,I,,PMCPMC5886055,
Dll4,uniprot_Q9NR61,uniprot,Q9NR61,protein,,,,,,Bcl2,uniprot_P10415,uniprot,P10415,protein,,,,,,,,,,I,,PMCPMC5886055,
Dll4,uniprot_Q9NR61,uniprot,Q9NR61,protein,,,,,,Xbp1,uniprot_P17861,uniprot,P17861,protein,,,,,,,,,,I,,PMCPMC5886055,
Spi1,uniprot_P17947,uniprot,P17947,protein,,,,,,DN1,uaz_UAZ11047,uaz,UAZ11047,protein,,,,,,,,,,I,,PMCPMC5886055,
Stat5,be_STAT5,be,STAT5,family,,,,,,Il7,uniprot_P13232,uniprot,P13232,protein,,,,,,,,,,I,,PMCPMC5886055,
Stat5,be_STAT5,be,STAT5,family,,,,,,Scf,uniprot_P21583,uniprot,P21583,protein,,,,,,,,,,I,,PMCPMC5886055,
Akt,be_AKT,be,AKT,family,,,,,,Il7,uniprot_P13232,uniprot,P13232,protein,,,,,,,,,,I,,PMCPMC5886055,
Akt,be_AKT,be,AKT,family,,,,,,Scf,uniprot_P21583,uniprot,P21583,protein,,,,,,,,,,I,,PMCPMC5886055,
STAT5,be_STAT5,be,STAT5,family,,,,,,Il7,uniprot_P13232,uniprot,P13232,protein,,,,,,,,,,I,,PMCPMC5886055,
AKT,be_AKT,be,AKT,family,,,,,,TAL1,uniprot_P17542,uniprot,P17542,protein,,,,,,,,,,I,,PMCPMC5886055,
AKT,be_AKT,be,AKT,family,,,,,,proliferation,go_GO:0008283,go,GO:0008283,bioprocess,,,,,,,,,,I,,PMCPMC5886055,
Scf,uniprot_P21583,uniprot,P21583,protein,,,,,,Pten,uniprot_P60484,uniprot,P60484,protein,,,,,,,,,,I,,PMCPMC5886055,
lactate,hmdb_HMDB00190,hmdb,HMDB00190,simple-chemical,,,,,,cell_growth,go_GO:0016049,go,GO:0016049,bioprocess,,,,,,,,,,I,,PMCPMC5886055,
IL7R,uniprot_P16871,uniprot,P16871,protein,,,,,,AKT,be_AKT,be,AKT,family,,,,,,,,,,I,,PMCPMC5886055,
IL7R,uniprot_P16871,uniprot,P16871,protein,,,,,,PI3K,be_PI3K,be,PI3K,protein,,,,,,,,,,I,,PMCPMC5886055,
AKT,be_AKT,be,AKT,family,,,,,,STAT5,be_STAT5,be,STAT5,family,,,,,,,,,,I,,PMCPMC5886055,
STAT5,be_STAT5,be,STAT5,family,,,,,,AKT,be_AKT,be,AKT,family,,,,,,,,,,I,,PMCPMC5886055,
miR181a,uaz_UAZ11064,uaz,UAZ11064,protein,,,,,,cell_proliferation,go_GO:0008283,go,GO:0008283,bioprocess,,,,,,,,,,I,,PMCPMC4575996,
miR181,uaz_UAZ11074,uaz,UAZ11074,protein,,,,,,cell_proliferation,go_GO:0008283,go,GO:0008283,bioprocess,,,,,,,,,,I,,PMCPMC4575996,
miR181,uaz_UAZ11074,uaz,UAZ11074,protein,,,,,,PI3K,be_PI3K,be,PI3K,protein,,,,,,,,,,I,,PMCPMC4575996,
miR181,uaz_UAZ11074,uaz,UAZ11074,protein,,,,,,AKT,be_AKT,be,AKT,family,,,,,,,,,,I,,PMCPMC4575996,
miR181a,uaz_UAZ11064,uaz,UAZ11064,protein,,,,,,cell_growth,go_GO:0016049,go,GO:0016049,bioprocess,,,,,,,,,,I,,PMCPMC4575996,
PI3K,be_PI3K,be,PI3K,protein,,,,,,miR181_targets_PTPN,uaz_UAZ11073,uaz,UAZ11073,protein,,,,,,,,,,I,,PMCPMC4575996,
PI3K,be_PI3K,be,PI3K,protein,,,,,,DUSP5,uniprot_Q16690,uniprot,Q16690,protein,,,,,,,,,,I,,PMCPMC4575996,
PI3K,be_PI3K,be,PI3K,protein,,,,,,DUSP6,uniprot_Q16828,uniprot,Q16828,protein,,,,,,,,,,I,,PMCPMC4575996,
AKT,be_AKT,be,AKT,family,,,,,,DUSP6,uniprot_Q16828,uniprot,Q16828,protein,,,,,,,,,,I,,PMCPMC4575996,
AKT,be_AKT,be,AKT,family,,,,,,miR181_targets_PTPN,uaz_UAZ11073,uaz,UAZ11073,protein,,,,,,,,,,I,,PMCPMC4575996,
AKT,be_AKT,be,AKT,family,,,,,,DUSP5,uniprot_Q16690,uniprot,Q16690,protein,,,,,,,,,,I,,PMCPMC4575996,
miR181a,uaz_UAZ11064,uaz,UAZ11064,protein,,,,,,cell_proliferation,go_GO:0008283,go,GO:0008283,bioprocess,,,,,,,,,,I,,PMCPMC4575996,
AKT,be_AKT,be,AKT,family,,,,,,miR181a,uaz_UAZ11064,uaz,UAZ11064,protein,,,,,,,,,,I,,PMCPMC4575996,
PIK3CD inhibitor,uaz_UAZ11105,uaz,UAZ11105,simple-chemical,,,,,,apoptosis,go_GO:0006915,go,GO:0006915,bioprocess,,,,,,,,,,I,,PMCPMC5986278,
miR_26b,uaz_UAZ11084,uaz,UAZ11084,protein,,,,,,apoptosis,go_GO:0006915,go,GO:0006915,bioprocess,,,,,,,,,,I,,PMCPMC5986278,
p110,be_PI3K_p110,be,PI3K_p110,family,,,,,,proliferation,go_GO:0008283,go,GO:0008283,bioprocess,,,,,,,,,,I,,PMCPMC5986278,
PI3K,be_PI3K,be,PI3K,protein,,,,,,proliferation,go_GO:0008283,go,GO:0008283,bioprocess,,,,,,,,,,I,,PMCPMC5986278,
CAL_101,pubchem_11625818,pubchem,11625818,simple-chemical,,,,,,apoptosis,go_GO:0006915,go,GO:0006915,bioprocess,,,,,,,,,,I,,PMCPMC5986278,
AKT,be_AKT,be,AKT,family,,,,,,Ikaros,uniprot_Q13422,uniprot,Q13422,protein,,,,,,,,,,I,,PMCPMC5986278,
PI3K,be_PI3K,be,PI3K,protein,,,,,,Ikaros,uniprot_Q13422,uniprot,Q13422,protein,,,,,,,,,,I,,PMCPMC5986278,
IK1,uniprot_O15554,uniprot,O15554,protein,,,,,,Ikaros,uniprot_Q13422,uniprot,Q13422,protein,,,,,,,,,,I,,PMCPMC5986278,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,PI3K,be_PI3K,be,PI3K,protein,,,,,,,,,,I,,PMCPMC5986278,
Akt,be_AKT,be,AKT,family,,,,,,CD19CAR,uaz_UAZ11116,uaz,UAZ11116,protein,,,,,,,,,,I,,PMCPMC5359873,
CAR,uniprot_P36575,uniprot,P36575,protein,,,,,,immunity,go_GO:0006955,go,GO:0006955,bioprocess,,,,,,,,,,I,,PMCPMC5359873,
Akti,uniprot_P85498,uniprot,P85498,protein,,,,,,senescence,mesh_D000375,mesh,D000375,bioprocess,,,,,,,,,,I,,PMCPMC5359873,
Akti,uniprot_P85498,uniprot,P85498,protein,,,,,,CD8,be_CD8,be,CD8,family,,,,,,,,,,I,,PMCPMC5359873,
Akti,uniprot_P85498,uniprot,P85498,protein,,,,,,CD19CAR,uaz_UAZ11116,uaz,UAZ11116,protein,,,,,,,,,,I,,PMCPMC5359873,
Akti,uniprot_P85498,uniprot,P85498,protein,,,,,,CAR,uniprot_P36575,uniprot,P36575,protein,,,,,,,,,,I,,PMCPMC5359873,
Th2_cytokines,uaz_UAZ04507,uaz,UAZ04507,protein,,,,,,CD19_antigen,uaz_UAZ11119,uaz,UAZ11119,protein,,,,,,,,,,I,,PMCPMC5359873,
Akti,uniprot_P85498,uniprot,P85498,protein,,,,,,CAR,uniprot_P36575,uniprot,P36575,protein,,,,,,,,,,I,,PMCPMC5359873,
TCR,uniprot_P04234,uniprot,P04234,protein,,,,,,CD4,uniprot_P01730,uniprot,P01730,protein,,,,,,,,,,I,,PMCPMC3949578,
Itk,uniprot_Q08881,uniprot,Q08881,protein,,,,,,TCR,uniprot_P04234,uniprot,P04234,protein,,,,,,,,,,I,,PMCPMC3949578,
PI3K,be_PI3K,be,PI3K,protein,,,,,,IL_2,uniprot_P60568,uniprot,P60568,protein,,,,,,,,,,I,,PMCPMC3949578,
TCR,uniprot_P04234,uniprot,P04234,protein,,,,,,transcription,go_GO:0006351,go,GO:0006351,bioprocess,,,,,,,,,,I,,PMCPMC3949578,
mTOR,uniprot_P42345,uniprot,P42345,protein,,,,,,TCR,uniprot_P04234,uniprot,P04234,protein,,,,,,,,,,I,,PMCPMC3949578,
transcription,go_GO:0006351,go,GO:0006351,bioprocess,,,,,,mTOR,uniprot_P42345,uniprot,P42345,protein,,,,,,,,,,I,,PMCPMC3949578,
IL_2,uniprot_P60568,uniprot,P60568,protein,,,,,,cell_differentiation,go_GO:0030154,go,GO:0030154,bioprocess,,,,,,,,,,I,,PMCPMC3949578,
IL_2,uniprot_P60568,uniprot,P60568,protein,,,,,,PI3K,be_PI3K,be,PI3K,protein,,,,,,,,,,I,,PMCPMC3949578,
IL_2,uniprot_P60568,uniprot,P60568,protein,,,,,,metabolism,go_GO:0008152,go,GO:0008152,bioprocess,,,,,,,,,,I,,PMCPMC3949578,
FoxP3,uniprot_B7ZLG1,uniprot,B7ZLG1,protein,,,,,,Itk,uniprot_Q08881,uniprot,Q08881,protein,,,,,,,,,,I,,PMCPMC3949578,
Itk,uniprot_Q08881,uniprot,Q08881,protein,,,,,,CD4,uniprot_P01730,uniprot,P01730,protein,,,,,,,,,,I,,PMCPMC3949578,
Itk,uniprot_Q08881,uniprot,Q08881,protein,,,,,,IL_2,uniprot_P60568,uniprot,P60568,protein,,,,,,,,,,I,,PMCPMC3949578,
TCR,uniprot_P04234,uniprot,P04234,protein,,,,,,Itk,uniprot_Q08881,uniprot,Q08881,protein,,,,,,,,,,I,,PMCPMC3949578,
FoxP3,uniprot_B7ZLG1,uniprot,B7ZLG1,protein,,,,,,Itk,uniprot_Q08881,uniprot,Q08881,protein,,,,,,,,,,I,,PMCPMC3949578,
mitogen_activated_protein_kinase,be_MAPK,be,MAPK,family,,,,,,STAT5,be_STAT5,be,STAT5,family,,,,,,,,,,I,,PMCPMC3949578,
PI3K,be_PI3K,be,PI3K,protein,,,,,,STAT5,be_STAT5,be,STAT5,family,,,,,,,,,,I,,PMCPMC3949578,
Itk,uniprot_Q08881,uniprot,Q08881,protein,,,,,,IL_2,uniprot_P60568,uniprot,P60568,protein,,,,,,,,,,I,,PMCPMC3949578,
Itk,uniprot_Q08881,uniprot,Q08881,protein,,,,,,IL_2,uniprot_P60568,uniprot,P60568,protein,,,,,,,,,,I,,PMCPMC3949578,
